Date,first_prize,2digit,3digit_1,3digit_2,3digit_3,3digit_4
2018-07-01,963623,83,429,901,210,217
2018-07-16,596324,27,403,530,138,362
2018-08-01,386602,78,832,903,549,726
2018-08-16,586117,10,340,670,591,815
2018-09-01,734510,26,464,512,097,202
2018-09-16,149760,79,323,539,155,297
2018-10-01,452643,99,594,726,561,810
2018-10-16,200515,93,186,392,192,212
2018-11-01,149840,58,384,576,046,509
2018-11-16,989903,16,471,930,140,876
2018-12-01,021840,67,045,307,561,988
2018-12-16,356564,62,480,948,297,369
2018-12-30,735867,02,031,913,701,884
2019-01-17,197079,65,206,412,127,660
2019-02-01,967134,04,643,779,197,948
2019-02-16,074824,56,881,910,612,879
2019-03-01,345650,65,137,999,830,837
2019-03-16,724628,64,148,883,154,877
2019-04-01,109767,52,888,959,403,975
2019-04-16,570331,23,512,930,966,968
2019-05-02,061324,25,043,476,374,699
2019-05-16,962526,71,669,949,018,828
2019-06-01,516461,46,589,713,215,560
2019-06-16,174055,29,625,884,127,800
2019-07-01,943647,86,239,864,006,375
2019-07-15,369765,88,355,901,113,556
2019-08-01,387006,58,135,983,562,795
2019-08-16,775476,89,149,912,563,580
2019-09-01,798787,20,210,847,274,439
2019-09-16,340388,85,733,947,925,939
2019-10-01,691197,59,392,920,606,797
2019-10-16,812564,15,255,625,132,598
2019-11-01,967375,79,323,806,021,206
2019-11-16,017223,32,164,640,085,194
2019-12-01,453522,81,261,617,013,457
2019-12-16,529924,97,043,138,555,665
2019-12-30,510541,81,116,382,140,250
