Date,first_prize,2digit,3digit_1,3digit_2,3digit_3,3digit_4
1996-05-17,978140,75,321,443,718,523
1996-06-01,869656,81,422,126,961,584
1996-06-16,318311,21,649,118,735,916
1996-07-01,625379,76,666,298,094,543
1996-07-16,332687,91,771,547,281,010
1996-08-01,151091,61,646,650,833,669
1996-08-16,352768,19,389,932,609,875
1996-09-01,470136,02,392,666,927,501
1996-09-16,814368,59,889,818,976,400
1996-10-01,947788,97,089,166,544,484
1996-10-16,198019,18,082,270,865,824
1996-11-01,512694,24,290,432,255,964
1996-11-16,951088,21,168,349,580,577
1996-12-01,179528,66,822,365,920,566
1996-12-16,593856,44,381,755,608,438
1996-12-30,879454,26,879,314,158,584
1997-01-16,151995,47,612,257,020,381
1997-02-01,750792,57,402,771,703,079
1997-02-16,499884,94,716,247,533,315
1997-03-01,976779,98,148,414,791,364
1997-03-16,100474,36,444,822,705,214
1997-04-01,617629,52,426,162,880,015
1997-04-16,551450,92,654,165,279,085
1997-05-02,388437,38,025,656,056,728
1997-05-16,088067,52,510,621,896,769
1997-06-01,643997,24,507,918,784,060
1997-06-16,537146,61,635,769,982,504
1997-07-01,676573,11,909,620,412,092
1997-07-16,509691,67,982,623,750,944
1997-08-01,054272,31,797,145,414,440
1997-08-16,156967,30,235,957,596,569
1997-09-01,083537,59,132,319,658,716
1997-09-16,527514,98,251,335,687,935
1997-10-01,444413,24,808,689,746,698
1997-10-16,405124,98,280,356,459,125
1997-11-01,974201,39,830,877,283,064
1997-11-16,875462,99,539,573,730,038
1997-12-01,241559,86,392,982,677,168
1997-12-16,294240,71,975,762,142,408
1997-12-30,675704,65,044,327,977,788
1998-01-16,947195,34,425,185,833,792
1998-02-01,665959,48,381,685,788,941
1998-02-16,612897,69,460,234,356,213
1998-03-01,236864,74,867,285,127,562
1998-03-16,572701,79,260,852,943,506
1998-04-01,496930,66,454,563,882,786
1998-04-16,146573,17,202,153,705,664
1998-05-02,663807,72,802,946,143,325
